GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.bicicleta.ms3.controller,ModeloController,12,79,0,4,4,17,0,8,0,6
,com.bicicleta.ms3.controller,BicicletaController,21,119,4,6,4,24,4,11,0,10
,com.bicicleta.ms3.controller,MarcaController,35,88,1,5,9,18,2,9,1,7
,com.bicicleta.ms3.controller,ColorController,18,86,1,3,5,17,1,8,0,7
,com.bicicleta.ms3.service,MarcaService,14,115,2,4,2,23,3,12,1,11
,com.bicicleta.ms3.service,ColorService,14,103,1,3,2,23,2,11,1,10
,com.bicicleta.ms3.service,ModeloService,14,117,1,3,2,28,2,10,1,9
,com.bicicleta.ms3.service,BicicletaService,12,192,3,13,1,46,4,18,1,13
